Stage,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Group,Ecuador,Chile,1,4,A
Group,Colombia,Venezuela,2,0,H
Group,Chile,Venezuela,1,0,H
Group,Colombia,Ecuador,1,0,H
Group,Ecuador,Venezuela,4,0,H
Group,Colombia,Chile,2,0,H
Group,Peru,Paraguay,3,3,D
Group,Brazil,Mexico,0,1,A
Group,Brazil,Peru,2,0,H
Group,Paraguay,Mexico,0,0,D
Group,Peru,Mexico,1,0,H
Group,Brazil,Paraguay,3,1,H
Group,Bolivia,Uruguay,0,1,A
Group,Honduras,Costa Rica,0,1,A
Group,Uruguay,Costa Rica,1,1,D
Group,Honduras,Bolivia,2,0,H
Group,Bolivia,Costa Rica,0,4,A
Group,Honduras,Uruguay,1,0,H
Quarter-finals,Chile,Mexico,0,2,A
Quarter-finals,Uruguay,Costa Rica,2,1,H
Quarter-finals,Brazil,Honduras,0,2,A
Quarter-finals,Colombia,Peru,3,0,H
Semi-finals,Mexico,Uruguay,2,1,H
Semi-finals,Colombia,Honduras,2,0,H
Match for third place,Uruguay,Honduras,2,2,D
Final,Colombia,Mexico,1,0,H
